date,killed,wounded,city,state
2022-07-08 00:00:00+00:00,0,4,Detroit,MI
2022-07-08 00:00:00+00:00,0,4,Greensboro,NC
2022-07-07 00:00:00+00:00,0,4,Chicago (Lawndale),IL
2022-07-07 00:00:00+00:00,0,4,St. Cloud,MN
2022-07-06 00:00:00+00:00,0,4,Tampa,FL
2022-07-06 00:00:00+00:00,0,4,Chicago (Near West Side),IL
2022-07-05 00:00:00+00:00,0,4,Steubenville,OH
2022-07-05 00:00:00+00:00,1,3,Rochester,NY
2022-07-05 00:00:00+00:00,3,7,Gary,IN
2022-07-05 00:00:00+00:00,1,3,Youngstown,OH
2022-07-05 00:00:00+00:00,1,4,Kenosha,WI
2022-07-04 00:00:00+00:00,0,5,Oakland,CA
2022-07-04 00:00:00+00:00,0,4,Queens,NY
2022-07-04 00:00:00+00:00,1,3,Denver,CO
2022-07-04 00:00:00+00:00,0,7,Minneapolis,MN
2022-07-04 00:00:00+00:00,7,30,Highland Park,IL
2022-07-04 00:00:00+00:00,0,4,Boston,MA
2022-07-04 00:00:00+00:00,0,4,Kansas City,MO
2022-07-04 00:00:00+00:00,1,4,Sacramento,CA
2022-07-04 00:00:00+00:00,0,5,Chicago (Parkway Gardens),IL
2022-07-04 00:00:00+00:00,0,6,Richmond,VA
2022-07-03 00:00:00+00:00,3,4,Surprise,AZ
2022-07-03 00:00:00+00:00,0,4,Tacoma,WA
2022-07-03 00:00:00+00:00,0,4,Manassas,VA
2022-07-03 00:00:00+00:00,0,4,Mullins,SC
2022-07-02 00:00:00+00:00,0,6,Clinton,NC
2022-07-02 00:00:00+00:00,1,3,Queens,NY
2022-07-02 00:00:00+00:00,3,4,Haltom City,TX
2022-07-01 00:00:00+00:00,1,7,Greenwood,MS
2022-07-01 00:00:00+00:00,0,4,Chicago (West Garfield Park),IL
2022-07-01 00:00:00+00:00,2,3,Chicago (Chicago Loop),IL
2022-06-30 00:00:00+00:00,3,5,Allen,KY
2022-06-30 00:00:00+00:00,0,9,Newark,NJ
2022-06-29 00:00:00+00:00,0,4,Philadelphia,PA
2022-06-29 00:00:00+00:00,0,4,Jersey City,NJ
2022-06-29 00:00:00+00:00,1,3,Ripley,TN
2022-06-27 00:00:00+00:00,1,3,Holly Springs,MS
2022-06-27 00:00:00+00:00,0,5,Charlotte,NC
2022-06-26 00:00:00+00:00,1,4,Tacoma,WA
2022-06-26 00:00:00+00:00,1,7,Sutherlin,VA
2022-06-26 00:00:00+00:00,0,5,Paterson,NJ
2022-06-26 00:00:00+00:00,0,5,Browning,TX
2022-06-26 00:00:00+00:00,1,3,San Antonio,TX
2022-06-26 00:00:00+00:00,1,6,Blakely,GA
2022-06-26 00:00:00+00:00,0,8,Tacoma,WA
2022-06-25 00:00:00+00:00,0,4,Brooklyn,NY
2022-06-25 00:00:00+00:00,0,4,Minneapolis,MN
2022-06-25 00:00:00+00:00,2,2,Houston,TX
2022-06-24 00:00:00+00:00,2,2,Hopewell,VA
2022-06-24 00:00:00+00:00,2,2,Philadelphia,PA
