"STATISTIC CODE","STATISTIC","TLIST(A1)","Year","C02199V02655","Sex","C02677V03567","Countries","UNIT","VALUE"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","AL","Albania","Number","78.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","AT","Austria","Number","81.8"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","BE","Belgium","Number","81.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","BG","Bulgaria","Number","75"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","HR","Croatia","Number","78.2"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","CY","Cyprus","Number","82.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","CZ","Czech Republic","Number","79.1"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","DK","Denmark","Number","81"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","EE","Estonia","Number","78.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","ZZEUBQ","EU27","Number","81"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","FI","Finland","Number","81.8"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","FR","France","Number","82.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","DE","Germany","Number","81"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","GR","Greece","Number","81.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","HU","Hungary","Number","76.2"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","IS","Iceland","Number","82.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","IE","Ireland","Number","82.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","IT","Italy","Number","83.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","LV","Latvia","Number","75.1"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","LI","Liechtenstein","Number","83.1"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","LT","Lithuania","Number","76"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","LU","Luxembourg","Number","82.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","MK","Macedonia","Number","76.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","MT","Malta","Number","82.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","ME","Montenegro","Number","76.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","NL","Netherlands","Number","81.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","NO","Norway","Number","82.8"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","PL","Poland","Number","77.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","PT","Portugal","Number","81.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","RO","Romania","Number","75.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","RS","Serbia","Number","75.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","SK","Slovakia","Number","77.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","SI","Slovenia","Number","81.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","ES","Spain","Number","83.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","SE","Sweden","Number","82.6"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","CH","Switzerland","Number","83.8"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","TR","Turkey","Number","78.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","-","Total Persons","GB","United Kingdom","Number","81.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","AL","Albania","Number","77.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","AT","Austria","Number","79.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","BE","Belgium","Number","79.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","BG","Bulgaria","Number","71.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","1","Male","HR","Croatia","Number","74.9"
